NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
OSGEPL1	1	ENSG00000128694	
DOCK7	1	ENSG00000116641	
KLHL21	1	ENSG00000162413	
AKR1E2	1	ENSG00000165568	
RPS27P27	1	ENSG00000244043	
SLC25A45	1	ENSG00000162241	
KLHDC7B	1	ENSG00000130487	
CFAP144	1	ENSG00000186973	
ATP1A4	1	ENSG00000132681	
PFKFB4	1	ENSG00000114268	
RNF14P4	1	ENSG00000223500	
NOS1AP	1	ENSG00000198929	
LYPLA1	1	ENSG00000120992	
PHACTR4	1	ENSG00000204138	
TEKT2	1	ENSG00000092850	
JMJD7-PLA2G4B	1	ENSG00000168970	
C10orf95	1	ENSG00000120055	
HMGB1P10	1	ENSG00000213707	
ACTR3B	1	ENSG00000133627	
NAIPP4	1	ENSG00000251634	
SEMA4G	1	ENSG00000095539	
COIL	1	ENSG00000121058	
HSH2D	1	ENSG00000196684	
SECISBP2L	1	ENSG00000138593	
CNP	1	ENSG00000173786	
GET1	1	ENSG00000182093	
NRIP2	1	ENSG00000053702	
SPX	1	ENSG00000134548	
SNX9	1	ENSG00000130340	
LRTM2	1	ENSG00000166159	
PRKCB	1	ENSG00000166501	
ZNF143	1	ENSG00000166478	
CCDC169	1	ENSG00000242715	
PNO1	1	ENSG00000115946	
SNX19	1	ENSG00000120451	
KCNJ3	1	ENSG00000162989	
VASN	1	ENSG00000168140	
C15orf61	1	ENSG00000189227	
HLA-DQB1	1	ENSG00000179344	
BAIAP2L2	1	ENSG00000128298	
COL11A2	1	ENSG00000204248	
ENTPD3	1	ENSG00000168032	
MRPS21P6	1	ENSG00000214298	
TNFAIP8L3	1	ENSG00000183578	
MEGF8	1	ENSG00000105429	
ESCO2	1	ENSG00000171320	
PRKCI	1	ENSG00000163558	
SRP14-DT	1	ENSG00000248508	
HEY2	1	ENSG00000135547	
MRPL32P2	1	ENSG00000229037	
PLPPR3	1	ENSG00000129951	
NSUN4	1	ENSG00000117481	
ATXN7L3P1	1	ENSG00000215168	
CNOT7P2	1	ENSG00000232185	
CKS1BP7	1	ENSG00000254331	
RPS15P5	1	ENSG00000229806	
FLVCR1-DT	1	ENSG00000198468	
DSTNP1	1	ENSG00000230982	
GK4P	1	ENSG00000178146	
C7orf25	1	ENSG00000136197	
JUN	1	ENSG00000177606	
CRHR2	1	ENSG00000106113	
C1orf109	1	ENSG00000116922	
SLC30A2	1	ENSG00000158014	
TRNT1	1	ENSG00000072756	
CYB561	1	ENSG00000008283	
ZNF521	1	ENSG00000198795	
IL10RB-DT	1	ENSG00000223799	
PURA	1	ENSG00000185129	
ENSG00000247228	1	ENSG00000247228	
TERF1P2	1	ENSG00000187589	
ZDHHC15	1	ENSG00000102383	
MATR3P3	1	ENSG00000237897	
VILL	1	ENSG00000136059	
ADRB1	1	ENSG00000043591	
CDC7	1	ENSG00000097046	
MPEG1	1	ENSG00000197629	
HNRNPA3P1	1	ENSG00000226790	
ZNF846	1	ENSG00000196605	
IRF4	1	ENSG00000137265	
ZNF681	1	ENSG00000196172	
HSPE1P8	1	ENSG00000217897	
SMPD2	1	ENSG00000135587	
HSD17B14	1	ENSG00000087076	
EFNA3	1	ENSG00000143590	
ZSCAN22	1	ENSG00000182318	
DDX11	1	ENSG00000013573	
STKLD1	1	ENSG00000198870	
NBPF2P	1	ENSG00000227001	
CSNK1A1P1	1	ENSG00000223518	
IER5L	1	ENSG00000188483	
SPRING1	1	ENSG00000111412	
TPI1P3	1	ENSG00000186743	
DIPK1A	1	ENSG00000154511	
USP12PX	1	ENSG00000226081	
FADS6	1	ENSG00000172782	
RNF216	1	ENSG00000011275	
GRWD1	1	ENSG00000105447	
SDK1	1	ENSG00000146555	
SYN1	1	ENSG00000008056	
CFAP221	1	ENSG00000163075	
RILPL1	1	ENSG00000188026	
RPL23AP47	1	ENSG00000219814	
HAPSTR1	1	ENSG00000182831	
AJAP1	1	ENSG00000196581	
RPS8P10	1	ENSG00000223877	
PLTP	1	ENSG00000100979	
MTRES1P1	1	ENSG00000220181	
SERPINB4	1	ENSG00000206073	
ADAP1	1	ENSG00000105963	
FRMPD4	1	ENSG00000169933	
NGDN	1	ENSG00000129460	
CYP2R1	1	ENSG00000186104	
DBIL5P	1	ENSG00000231784	
CEP19	1	ENSG00000174007	
MALAT1	1	ENSG00000251562	
BOLA3-DT	1	ENSG00000225439	
ARMC8P1	1	ENSG00000225254	
N6AMT1	1	ENSG00000156239	
KIRREL2	1	ENSG00000126259	
PAM16	1	ENSG00000217930	
TNPO1P2	1	ENSG00000230662	
CHCHD4	1	ENSG00000163528	
SGMS1-AS1	1	ENSG00000226200	
SERF2	1	ENSG00000140264	
RBMS3	1	ENSG00000144642	
RBPMS-AS1	1	ENSG00000254109	
CENPA	1	ENSG00000115163	
SLC38A8	1	ENSG00000166558	
AIDAP2	1	ENSG00000251429	
MROH8	1	ENSG00000101353	
BMP4	1	ENSG00000125378	
TCEAL2	1	ENSG00000184905	
MAD2L1	1	ENSG00000164109	
EZH1	1	ENSG00000108799	
MFSD2B	1	ENSG00000205639	
RAB27B	1	ENSG00000041353	
EEFSEC	1	ENSG00000132394	
ATF4P3	1	ENSG00000228218	
RNU6-722P	1	ENSG00000223309	
MFSD4A	1	ENSG00000174514	
ARPC5	1	ENSG00000162704	
ADM2	1	ENSG00000128165	
ECSCR	1	ENSG00000249751	
BRWD1P1	1	ENSG00000215909	
RDXP3	1	ENSG00000238247	
PP2D1	1	ENSG00000183977	
ABCD3	1	ENSG00000117528	
VANGL2	1	ENSG00000162738	
GCAT	1	ENSG00000100116	
SERP2	1	ENSG00000151778	
SLC66A3	1	ENSG00000162976	
CYB5D1	1	ENSG00000182224	
PHB1	1	ENSG00000167085	
TTLL1	1	ENSG00000100271	
NLN	1	ENSG00000123213	
SLC16A11	1	ENSG00000174326	
ARHGAP45	1	ENSG00000180448	
VEZF1P1	1	ENSG00000236229	
USP8P2	1	ENSG00000226340	
STAT5A	1	ENSG00000126561	
JMJD4	1	ENSG00000081692	
COPS8-DT	1	ENSG00000227252	
IL21R	1	ENSG00000103522	
FUNDC1	1	ENSG00000069509	
PPM1D	1	ENSG00000170836	
CPNE5	1	ENSG00000124772	
PEBP1	1	ENSG00000089220	
PRDX4	1	ENSG00000123131	
RRP15	1	ENSG00000067533	
PAXIP1	1	ENSG00000157212	
SETBP1	1	ENSG00000152217	
BTG2	1	ENSG00000159388	
AKAP3	1	ENSG00000111254	
SLC52A1	1	ENSG00000132517	
ZNF789	1	ENSG00000198556	
NISCH	1	ENSG00000010322	
CDC27P2	1	ENSG00000237447	
ETV6	1	ENSG00000139083	
WDR46	1	ENSG00000227057	
PHF10P1	1	ENSG00000228986	
NHP2	1	ENSG00000145912	
EGR1	1	ENSG00000120738	
CDK8	1	ENSG00000132964	
RAPGEF2	1	ENSG00000109756	
XYLT2	1	ENSG00000015532	
CRNKL1	1	ENSG00000101343	
GDI1	1	ENSG00000203879	
NRF1	1	ENSG00000106459	
PRELP	1	ENSG00000188783	
ARNT2	1	ENSG00000172379	
LY75	1	ENSG00000054219	
ADAM11	1	ENSG00000073670	
DNM1	1	ENSG00000106976	
SCNN1A	1	ENSG00000111319	
CCNQP3	1	ENSG00000231184	
UCK2	1	ENSG00000143179	
VENTX	1	ENSG00000151650	
LINC02897	1	ENSG00000221953	
OBSCN	1	ENSG00000154358	
LVRN	1	ENSG00000172901	
GEM	1	ENSG00000164949	
SAP30	1	ENSG00000164105	
MARVELD3	1	ENSG00000140832	
RGPD2	1	ENSG00000185304	
STK11IP	1	ENSG00000144589	
CAMK2B	1	ENSG00000058404	
GON4L	1	ENSG00000116580	
MTERF1	1	ENSG00000127989	
WNT4	1	ENSG00000162552	
MRNIP	1	ENSG00000161010	
WDR90	1	ENSG00000161996	
FAM13B	1	ENSG00000031003	
EBF3	1	ENSG00000108001	
SYP	1	ENSG00000102003	
TMEM41A	1	ENSG00000163900	
ADGRA2	1	ENSG00000020181	
LYZ	1	ENSG00000090382	
DPY19L3	1	ENSG00000178904	
MEAK7	1	ENSG00000140950	
RPL30-AS1	1	ENSG00000245970	
IFI27L1	1	ENSG00000165948	
TMEM138	1	ENSG00000149483	
AUNIP	1	ENSG00000127423	
MIR1302-9HG	1	ENSG00000227518	
ENPP7P4	1	ENSG00000241278	
NPM1P26	1	ENSG00000235677	
RASL12	1	ENSG00000103710	
PPP4R2P1	1	ENSG00000250848	
TAS2R15P	1	ENSG00000212125	
NIM1K	1	ENSG00000177453	
KLHL28	1	ENSG00000179454	
FAM241B	1	ENSG00000171224	
CD248	1	ENSG00000174807	
KLF5	1	ENSG00000102554	
ZNF337	1	ENSG00000130684	
LILRB3	1	ENSG00000204577	
ICOSLG	1	ENSG00000160223	
ATP5F1AP2	1	ENSG00000227682	
IRX3	1	ENSG00000177508	
SUPV3L1	1	ENSG00000156502	
NRM	1	ENSG00000137404	
ERHP1	1	ENSG00000254270	
ASH1L-AS1	1	ENSG00000235919	
CAMK4	1	ENSG00000152495	
TMEM129	1	ENSG00000168936	
LTBP2	1	ENSG00000119681	
LEPROTL1	1	ENSG00000104660	
MRPL3P1	1	ENSG00000215349	
DNAJC27-AS1	1	ENSG00000224165	
ZNF174	1	ENSG00000103343	
EMC1	1	ENSG00000127463	
RPS20P33	1	ENSG00000242085	
PRKD1	1	ENSG00000184304	
SERTM1	1	ENSG00000180440	
LIN7A	1	ENSG00000111052	
CFAP52	1	ENSG00000166596	
FAM136BP	1	ENSG00000232654	
C14orf39	1	ENSG00000179008	
FZD6	1	ENSG00000164930	
SLC22A16	1	ENSG00000004809	
MATR3P1	1	ENSG00000225858	
ADRA1D	1	ENSG00000171873	
MEIS3P2	1	ENSG00000188013	
F5	1	ENSG00000198734	
MMP16	1	ENSG00000156103	
SPTLC1P2	1	ENSG00000218512	
SIX5	1	ENSG00000177045	
IL36RN	1	ENSG00000136695	
PHLDA3	1	ENSG00000174307	
FAM13A-AS1	1	ENSG00000248019	
EEPD1	1	ENSG00000122547	
PDE2A	1	ENSG00000186642	
VMAC	1	ENSG00000187650	
CLK2P1	1	ENSG00000232553	
UBE2V1	1	ENSG00000244687	
CHAMP1	1	ENSG00000198824	
ACTR5	1	ENSG00000101442	
STEAP3	1	ENSG00000115107	
RFC4	1	ENSG00000163918	
SH3BP1	1	ENSG00000100092	
UNC80	1	ENSG00000144406	
SUMO1	1	ENSG00000116030	
DLD	1	ENSG00000091140	
H2AZP3	1	ENSG00000218502	
OXTR	1	ENSG00000180914	
BORCS8	1	ENSG00000254901	
SEC1P	1	ENSG00000232871	
SRPK2P	1	ENSG00000253431	
RNF215	1	ENSG00000099999	
CAMK1	1	ENSG00000134072	
PIGP	1	ENSG00000185808	
MAPK6P4	1	ENSG00000215179	
PA2G4P6	1	ENSG00000231799	
DPH7	1	ENSG00000148399	
RAB4B	1	ENSG00000167578	
YWHAEP5	1	ENSG00000234645	
ITGB8	1	ENSG00000105855	
HOXB-AS1	1	ENSG00000230148	
B3GNT3	1	ENSG00000179913	
IL4I1	1	ENSG00000104951	
LRRC57	1	ENSG00000180979	
PXDN	1	ENSG00000130508	
LYSET	1	ENSG00000153485	
TRAF6P1	1	ENSG00000226557	
NARS1	1	ENSG00000134440	
DIPK1B	1	ENSG00000165716	
TANC2	1	ENSG00000170921	
PMS2P5	1	ENSG00000123965	
GADL1	1	ENSG00000144644	
ZNF667-AS1	1	ENSG00000166770	
GULP1	1	ENSG00000144366	
CBFA2T3	1	ENSG00000129993	
TLE4	1	ENSG00000106829	
MEX3A	1	ENSG00000254726	
ZNF772	1	ENSG00000197128	
SDC3	1	ENSG00000162512	
NDUFB1P1	1	ENSG00000231884	
RPL26P30	1	ENSG00000236264	
LINC00992	1	ENSG00000248663	
BRICD5	1	ENSG00000182685	
CEP135	1	ENSG00000174799	
SAPCD2	1	ENSG00000186193	
ZNF443	1	ENSG00000180855	
NRN1	1	ENSG00000124785	
RPL15P5	1	ENSG00000233045	
RAD51AP1	1	ENSG00000111247	
STARD4-AS1	1	ENSG00000246859	
RPL7AP62	1	ENSG00000213862	
DLL3	1	ENSG00000090932	
RPL21P53	1	ENSG00000244021	
NPM1P8	1	ENSG00000236285	
NRL	1	ENSG00000129535	
MTARC1	1	ENSG00000186205	
CPNE4	1	ENSG00000196353	
DRG1	1	ENSG00000185721	
NPIPB4	1	ENSG00000185864	
KCNJ5-AS1	1	ENSG00000174370	
SPDYE5	1	ENSG00000170092	
CBX8	1	ENSG00000141570	
DDX25	1	ENSG00000109832	
CTAGE3P	1	ENSG00000232872	
RFESDP1	1	ENSG00000231650	
FBXO5	1	ENSG00000112029	
SNHG10	1	ENSG00000247092	
CNGA1	1	ENSG00000198515	
CCN4	1	ENSG00000104415	
LYN	1	ENSG00000254087	
EGF	1	ENSG00000138798	
MKRN8P	1	ENSG00000237090	
AKTIPP2	1	ENSG00000226432	
MBLAC2	1	ENSG00000176055	
WAS	1	ENSG00000015285	
RCC2P6	1	ENSG00000254454	
PABIR2	1	ENSG00000156504	
ARL2	1	ENSG00000213465	
NID1	1	ENSG00000116962	
NAP1L5	1	ENSG00000177432	
ADAMTS18	1	ENSG00000140873	
FOSB	1	ENSG00000125740	
DUSP18	1	ENSG00000167065	
SSBP3	1	ENSG00000157216	
SYNJ2	1	ENSG00000078269	
ING3	1	ENSG00000071243	
KEL	1	ENSG00000197993	
CACNA1D	1	ENSG00000157388	
SUCLA2P1	1	ENSG00000224936	
TMCO6	1	ENSG00000113119	
MPC1	1	ENSG00000060762	
SLC25A5	1	ENSG00000005022	
UBQLN4	1	ENSG00000160803	
B4GALT4	1	ENSG00000121578	
RGS9BP	1	ENSG00000186326	
HOXB5	1	ENSG00000120075	
ADAMTS9-AS2	1	ENSG00000241684	
DTX4	1	ENSG00000110042	
DPYSL4	1	ENSG00000151640	
PRR4	1	ENSG00000111215	
NOL8P1	1	ENSG00000248327	
SLC35A4	1	ENSG00000176087	
PTP4A2P2	1	ENSG00000254481	
AP2M1	1	ENSG00000161203	
NTRK1	1	ENSG00000198400	
ALOX5AP	1	ENSG00000132965	
MCUR1	1	ENSG00000050393	
FLG	1	ENSG00000143631	
DPP9-AS1	1	ENSG00000205790	
PGLYRP4	1	ENSG00000163218	
ZNF215	1	ENSG00000149054	
RMDN3	1	ENSG00000137824	
AKAP5	1	ENSG00000179841	
IER3IP1	1	ENSG00000134049	
LRRC25	1	ENSG00000175489	
HPDL	1	ENSG00000186603	
PRB4	1	ENSG00000230657	
STK19B	1	ENSG00000250535	
WDR43	1	ENSG00000163811	
NDUFB2-AS1	1	ENSG00000240889	
BMF	1	ENSG00000104081	
CKLF	1	ENSG00000217555	
SLA	1	ENSG00000155926	
KDF1	1	ENSG00000175707	
FLVCR1	1	ENSG00000162769	
NDUFAF5	1	ENSG00000101247	
RNF167	1	ENSG00000108523	
MLLT10P1	1	ENSG00000238151	
LMBRD2	1	ENSG00000164187	
MCUB	1	ENSG00000005059	
UBR4	1	ENSG00000127481	
RPL23AP7	1	ENSG00000240356	
PARD6G	1	ENSG00000178184	
SOX9	1	ENSG00000125398	
IQCC	1	ENSG00000160051	
SMPDL3B	1	ENSG00000130768	
ESRRAP1	1	ENSG00000215572	
CALY	1	ENSG00000130643	
DNTTIP1	1	ENSG00000101457	
SMIM14-DT	1	ENSG00000255458	
NMD3P2	1	ENSG00000231504	
FAM66B	1	ENSG00000215374	
TMEM150B	1	ENSG00000180061	
CPLX1	1	ENSG00000168993	
EEF1A1P8	1	ENSG00000223529	
RPL36AP45	1	ENSG00000240366	
SLC16A14	1	ENSG00000163053	
RNF181	1	ENSG00000168894	
PDE4DIPP6	1	ENSG00000231551	
CNOT7	1	ENSG00000198791	
HMCN1	1	ENSG00000143341	
RPL13AP26	1	ENSG00000250318	
CHD1-DT	1	ENSG00000248489	
SURF1	1	ENSG00000148290	
DNAJC9-AS1	2	ENSG00000236756:ENSG00000227540	
LINC01515	1	ENSG00000228065	
PRR34-AS1	1	ENSG00000241990	
RPS4XP11	1	ENSG00000234335	
ENSG00000246308	1	ENSG00000246308	
DYNC1I1	1	ENSG00000158560	
BACH2	1	ENSG00000112182	
PSMG2	1	ENSG00000128789	
DNAI4	1	ENSG00000152763	
SLC22A18	1	ENSG00000110628	
TRMT2A	1	ENSG00000099899	
KANSL1L-AS1	1	ENSG00000229127	
STK24P1	1	ENSG00000230079	
G2E3P1	1	ENSG00000240890	
SHISA2	1	ENSG00000180730	
ZBTB16	1	ENSG00000109906	
HTR1F	1	ENSG00000179097	
THAP7	1	ENSG00000184436	
TMEM72	1	ENSG00000187783	
RAB28P5	1	ENSG00000225400	
TMEM106A	1	ENSG00000184988	
ZNF646	1	ENSG00000167395	
SLC7A6	1	ENSG00000103064	
ZNF703	1	ENSG00000183779	
CTSK	1	ENSG00000143387	
SNRPB2	1	ENSG00000125870	
FAM66D	1	ENSG00000255052	
ALKBH1	1	ENSG00000100601	
NECTIN4	1	ENSG00000143217	
ZNF169	1	ENSG00000175787	
BMPR1A	1	ENSG00000107779	
C17orf58	1	ENSG00000186665	
PIK3R2	1	ENSG00000105647	
FREM2	1	ENSG00000150893	
HCG27	1	ENSG00000206344	
TTBK1	1	ENSG00000146216	
GAS2	1	ENSG00000148935	
FAM8A6P	1	ENSG00000218772	
DUSP9	1	ENSG00000130829	
CCKBR	1	ENSG00000110148	
IPO11	1	ENSG00000086200	
PPP1R14A	1	ENSG00000167641	
SEPTIN14P6	1	ENSG00000217929	
PLAGL2	1	ENSG00000126003	
ODF3B	1	ENSG00000177989	
TK2	1	ENSG00000166548	
BIRC5	1	ENSG00000089685	
RPL5P29	1	ENSG00000242208	
RPS7P11	1	ENSG00000213326	
APLP1	1	ENSG00000105290	
EFHC2	1	ENSG00000183690	
GATAD2A	1	ENSG00000167491	
CAB39	1	ENSG00000135932	
TRPC3	1	ENSG00000138741	
EPAS1	1	ENSG00000116016	
CEP76	1	ENSG00000101624	
PLEKHG5	1	ENSG00000171680	
DDT	1	ENSG00000099977	
FGD5	1	ENSG00000154783	
C12orf29	1	ENSG00000133641	
HDDC2	1	ENSG00000111906	
PRODH	1	ENSG00000100033	
DDN	1	ENSG00000181418	
NDUFB11	1	ENSG00000147123	
ACRBP	1	ENSG00000111644	
BRAFP1	1	ENSG00000224775	
CNIH1	1	ENSG00000100528	
LAMA2	1	ENSG00000196569	
ST3GAL5	1	ENSG00000115525	
ONECUT2	1	ENSG00000119547	
AGBL2	1	ENSG00000165923	
SEPTIN10P1	1	ENSG00000253541	
CPA3	1	ENSG00000163751	
RAD51	1	ENSG00000051180	
LAMC1-AS1	1	ENSG00000224468	
AKAIN1	1	ENSG00000231824	
AGAP9	1	ENSG00000204172	
ZNF365	1	ENSG00000138311	
PIAS4	1	ENSG00000105229	
CENPCP1	1	ENSG00000226982	
SP2-AS1	1	ENSG00000234494	
USP21P1	1	ENSG00000224826	
H3P47	1	ENSG00000179101	
PCDHB2	1	ENSG00000112852	
ALG6	1	ENSG00000088035	
RPL23AP53	1	ENSG00000223508	
KIF18A	1	ENSG00000121621	
PWWP3B	1	ENSG00000157502	
AK3	1	ENSG00000147853	
SNHG12	1	ENSG00000197989	
EED	1	ENSG00000074266	
TWNK	1	ENSG00000107815	
MED8-AS1	1	ENSG00000229431	
METTL8	1	ENSG00000123600	
CAPN5	1	ENSG00000149260	
NANOS3	1	ENSG00000187556	
GRIA3	1	ENSG00000125675	
PSME2P3	1	ENSG00000248988	
PCSK1	1	ENSG00000175426	
RFESD	1	ENSG00000175449	
KLHL25	1	ENSG00000183655	
CDPF1P1	1	ENSG00000227799	
STK38	1	ENSG00000112079	
ERCC6L	1	ENSG00000186871	
LINC00342	1	ENSG00000232931	
CFAP54	1	ENSG00000188596	
XK	1	ENSG00000047597	
ZDHHC20P4	1	ENSG00000232380	
GNA13	1	ENSG00000120063	
FKBP7	1	ENSG00000079150	
GPR89P	1	ENSG00000216915	
LINC02315	1	ENSG00000251363	
ENSG00000235480	1	ENSG00000235480	
ZNF101	1	ENSG00000181896	
GAPDHP70	1	ENSG00000249489	
ANK2	1	ENSG00000145362	
NAA50	1	ENSG00000121579	
BRWD1-AS2	1	ENSG00000255568	
LINC02901	1	ENSG00000203711	
COQ10B	1	ENSG00000115520	
DDX50P1	1	ENSG00000229816	
RPL34-DT	1	ENSG00000234492	
MEIOC	1	ENSG00000180336	
RRP1	1	ENSG00000160214	
AIDAP1	1	ENSG00000230154	
ZMYM6	1	ENSG00000163867	
HLA-F-AS1	1	ENSG00000214922	
PKD1P1	1	ENSG00000244257	
ATP6V1C2	1	ENSG00000143882	
IL34	1	ENSG00000157368	
METTL5P2	1	ENSG00000248557	
NFE2	1	ENSG00000123405	
SNTB1	1	ENSG00000172164	
VPS37A	1	ENSG00000155975	
P4HA3	1	ENSG00000149380	
PSMC3P1	1	ENSG00000236680	
LURAP1L	1	ENSG00000153714	
FADD	1	ENSG00000168040	
NRXN2	1	ENSG00000110076	
VLDLR-AS1	1	ENSG00000236404	
DOK7	1	ENSG00000175920	
SREK1IP1P1	1	ENSG00000229336	
ENSG00000255367	1	ENSG00000255367	
SNHG28	1	ENSG00000188004	
FAM3B	1	ENSG00000183844	
SGMS2	1	ENSG00000164023	
PTPN11	1	ENSG00000179295	
FAAP24	1	ENSG00000131944	
SEC14L5	1	ENSG00000103184	
SP140L	1	ENSG00000185404	
UQCRC1	1	ENSG00000010256	
DRC3	1	ENSG00000171962	
RN7SL130P	1	ENSG00000244256	
PTX3	1	ENSG00000163661	
SLC25A5P1	1	ENSG00000215347	
MAPK6P3	1	ENSG00000237263	
PECR	1	ENSG00000115425	
GJD4	1	ENSG00000177291	
SLC2A1-DT	1	ENSG00000227533	
GEMIN2P2	1	ENSG00000235339	
SIGLEC10	1	ENSG00000142512	
ANXA6	1	ENSG00000197043	
RBM6	1	ENSG00000004534	
LONRF3	1	ENSG00000175556	
HTR3A	1	ENSG00000166736	
SSBL5P	1	ENSG00000236048	
ADGRL2	1	ENSG00000117114	
TFR2	1	ENSG00000106327	
FAM85B	1	ENSG00000253893	
ID2-AS1	1	ENSG00000235092	
NPY6R	1	ENSG00000226306	
ALK	1	ENSG00000171094	
SYT16	1	ENSG00000139973	
NOSTRIN	1	ENSG00000163072	
PLEKHG4	1	ENSG00000196155	
FAM50A	1	ENSG00000071859	
PCDH17	1	ENSG00000118946	
EXT1	1	ENSG00000182197	
USP49	1	ENSG00000164663	
SEMA5B	1	ENSG00000082684	
RPL21P119	1	ENSG00000220793	
SCOC-AS1	1	ENSG00000196951	
ATG16L2	1	ENSG00000168010	
USP2-AS1	1	ENSG00000245248	
S1PR4	1	ENSG00000125910	
ARHGEF34P	1	ENSG00000204959	
PAFAH1B1P1	1	ENSG00000214354	
NDRG1	1	ENSG00000104419	
KCNIP2	1	ENSG00000120049	
PCDHA12	1	ENSG00000251664	
WDFY4	1	ENSG00000128815	
THBS2-AS1	1	ENSG00000226445	
DBF4	1	ENSG00000006634	
TRMT11	1	ENSG00000066651	
ABHD14A	1	ENSG00000248487	
ELL3	1	ENSG00000128886	
RGPD1	1	ENSG00000187627	
ACTG1P11	1	ENSG00000229465	
MISP	1	ENSG00000099812	
BRWD3	1	ENSG00000165288	
PCSK4	1	ENSG00000115257	
IL15	1	ENSG00000164136	
RYR1	1	ENSG00000196218	
CETP	1	ENSG00000087237	
FGF12-AS2	1	ENSG00000230126	
NPM1P25	1	ENSG00000229417	
RPL39L	1	ENSG00000163923	
CRLF3P1	1	ENSG00000236596	
GRIK2	1	ENSG00000164418	
KLHL41	1	ENSG00000239474	
POU5F1B	1	ENSG00000212993	
RPL35AP21	1	ENSG00000229814	
HOGA1	1	ENSG00000241935	
RHOH	1	ENSG00000168421	
NRG4	1	ENSG00000169752	
CCNF	1	ENSG00000162063	
IL13RA2	1	ENSG00000123496	
ZNF93	1	ENSG00000184635	
KCNA1	1	ENSG00000111262	
MTHFD1L	1	ENSG00000120254	
NIT2	1	ENSG00000114021	
ZNF157	1	ENSG00000147117	
CRYGS	1	ENSG00000213139	
SLC7A11-AS1	1	ENSG00000250033	
RPL37P6	1	ENSG00000241431	
NSD3	1	ENSG00000147548	
RBKS	1	ENSG00000171174	
MIRLET7BHG	1	ENSG00000197182	
ARID3A	1	ENSG00000116017	
BLOC1S3	1	ENSG00000189114	
HMGB1P5	1	ENSG00000132967	
EXTL1	1	ENSG00000158008	
SDAD1	1	ENSG00000198301	
CNTN1	1	ENSG00000018236	
SRP14P3	1	ENSG00000235183	
MS4A6A	1	ENSG00000110077	
MSH2	1	ENSG00000095002	
PEG10	1	ENSG00000242265	
ZNF486	1	ENSG00000256229	
POC1A	1	ENSG00000164087	
AVPR1A	1	ENSG00000166148	
CLTCL1	1	ENSG00000070371	
LINC01485	1	ENSG00000254211	
SNHG29	1	ENSG00000175061	
TRIM7	1	ENSG00000146054	
DSC1	1	ENSG00000134765	
CPT1C	1	ENSG00000169169	
RLN1	1	ENSG00000107018	
RPS6P26	1	ENSG00000213269	
UBE2G2	1	ENSG00000184787	
PHF21B	1	ENSG00000056487	
MYO1B	1	ENSG00000128641	
DPP3-DT	1	ENSG00000255517	
FCGR3B	1	ENSG00000162747	
GIMAP5	1	ENSG00000196329	
ANP32C	1	ENSG00000248546	
ARL15	1	ENSG00000185305	
TNFRSF4	1	ENSG00000186827	
MELTF-AS1	1	ENSG00000228109	
MMEL1	1	ENSG00000142606	
CBS	1	ENSG00000160200	
SLC43A1	1	ENSG00000149150	
DNAH9	1	ENSG00000007174	
ZSCAN32	1	ENSG00000140987	
TLR8	1	ENSG00000101916	
MSI1	1	ENSG00000135097	
NPFFR2	1	ENSG00000056291	
RPS27AP20	1	ENSG00000182888	
CACNA1B	1	ENSG00000148408	
ADGRV1	1	ENSG00000164199	
ESPNL	1	ENSG00000144488	
ALKBH6	1	ENSG00000239382	
PDE1B	1	ENSG00000123360	
TNRC18P3	1	ENSG00000189166	
HMGB1P31	1	ENSG00000233266	
LILRB1	1	ENSG00000104972	
CNFN	1	ENSG00000105427	
SLAMF8	1	ENSG00000158714	
TG	1	ENSG00000042832	
POLR3B	1	ENSG00000013503	
FZD5	1	ENSG00000163251	
DEGS2	1	ENSG00000168350	
DLGAP4-AS1	1	ENSG00000232907	
PCMT1	1	ENSG00000120265	
FGFBP3	1	ENSG00000174721	
UTP3	1	ENSG00000132467	
SGIP1	1	ENSG00000118473	
CCNY	1	ENSG00000108100	
NPIPB12	1	ENSG00000169203	
NSUN7	1	ENSG00000179299	
MORC2-AS1	1	ENSG00000235989	
ZNF185	1	ENSG00000147394	
EIF4EP1	1	ENSG00000233578	
FOXC2	1	ENSG00000176692	
ENSG00000227741	1	ENSG00000227741	
MAB21L2	1	ENSG00000181541	
NBEAP2	1	ENSG00000197927	
GNG2	1	ENSG00000186469	
FAM222A-AS1	1	ENSG00000255650	
CHCHD4P4	1	ENSG00000213964	
TBXA2R	1	ENSG00000006638	
NDNF	1	ENSG00000173376	
TUT1	1	ENSG00000149016	
SNHG14	1	ENSG00000224078	
ZFP37	1	ENSG00000136866	
RHPN1-AS1	1	ENSG00000254389	
CIART	1	ENSG00000159208	
LSM3P3	1	ENSG00000225787	
PKD1P6	1	ENSG00000250251	
EXOC7P1	1	ENSG00000250485	
PIP5K1P2	1	ENSG00000229435	
ARPC3P5	1	ENSG00000214027	
SUCLG2-DT	1	ENSG00000241316	
C10orf71	1	ENSG00000177354	
ZNF709	1	ENSG00000242852	
C1QL3	1	ENSG00000165985	
CTTN-DT	1	ENSG00000246889	
TPT1P10	1	ENSG00000180221	
MEOX1	1	ENSG00000005102	
GRAMD1B	1	ENSG00000023171	
RHPN2	1	ENSG00000131941	
PATJ	1	ENSG00000132849	
MDP1	1	ENSG00000213920	
RPIA	1	ENSG00000153574	
